#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cancel_specialization_atmora_desc;You can cancel your Specialization training at any time. Doing so will erase any progress that you have made toward learning your Specialization. You will have to wait 12 months after enacting this decision before you can attempt to study a Specialization again.;;;;;;;;;;;;;x
NUMBEROFSKALDS;There may only be four Skalds at a time;;;;;;;;;;;;;x
Raider_Request_To_Rank_Up_Within_Society;Request to rank up;;;;;;;;;;;;;x
Storyteller_Request_To_Rank_Up_Within_Society;Request to rank up;;;;;;;;;;;;;x
ATM_request_to_rank_up_within_society_currency_tt;Has [Root.Society.GetCurrency] greater or equal to [Root.GetATMSocietyRankUpTooltip1]\n;A au moins [Root.GetSocietyRankUpTooltip1] en §Y[Root.Society.GetCurrency]§!\n;§Y[Root.Society.GetCurrency]§! größer als oder gleich [Root.GetSocietyRankUpTooltip1]\n;;Tiene una cantidad de §Y[Root.Society.GetCurrency]§! superior o equivalente a [Root.GetSocietyRankUpTooltip1].\n;;;;;;;;;x
ATMSocieties16;Countless hours of hard work are paying off. I have gained a greater understanding of my field of study, and am all the better for it.;;;;;;;;;;;;;x
ATMSocieties16Acknowledge;Excellent.;;;;;;;;;;;;;x
join_the_bear_guild;Join the Bear's Craft;;;;;;;;;;;;;x
join_the_bear_guild_desc;Order [Root.GetFirstName] to join the Bear's Craft. [Root.GetFirstName] will be granted the rank of Cub and can immediately take on Guild jobs and study Specializations if there are any available to [Root.GetHerHim].;;;;;;;;;;;;;x
join_the_owl_guild;Join the Owl's Lodge.;;;;;;;;;;;;;x
join_the_owl_guild_desc;Order [Root.GetFirstName] to join the Owl's Lodge. [Root.GetFirstName] will be granted the rank of Storyteller and can immediately take on Guild jobs and study Specializations if there are any available to [Root.GetHerHim].;;;;;;;;;;;;;x
atm_request_grandmaster_retire;Request that Your Society Grandmaster Retire;;;;;;;;;;;;;x
atm_request_grandmaster_retire_desc;Send an offer of gold to the leader of your Society, asking them to resign from their position, swear off joining most major guilds, and name you as their successor. If they accept, they will receive part of your gift as a lump sum, with the rest invested such that they receive a lifetime pension. They can later set this pension aside, voiding it and allowing them to join any society at a later time.;;;;;;;;;;;;;x
Jylkurfyk_Fixed;Jylkurfyk, the grand shipyard of Atmora, must be repaired to brave the Sea of Ghosts;;;;;;;;;;;;;x
